split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
17,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9833333333333333,0.9988888888888889,0.9830508474576272,1.0,0.9666666666666667,1.0,30,0,1,29
17,Logistic Regression,Cascade,0.11666666666666667,7,0.9833333333333333,0.9988888888888889,0.9830508474576272,1.0,0.9666666666666667,1.0,30,0,1,29
17,Random Forest,Stage 1 only,0.0,0,0.9333333333333333,0.9977777777777778,0.9375,0.8823529411764706,1.0,0.8666666666666667,26,4,0,30
17,Random Forest,Stage 1 + Stage 2,1.0,60,0.9833333333333333,0.9966666666666667,0.9836065573770492,0.967741935483871,1.0,0.9666666666666667,29,1,0,30
17,Random Forest,Cascade,0.31666666666666665,19,0.9833333333333333,0.9966666666666666,0.9836065573770492,0.967741935483871,1.0,0.9666666666666667,29,1,0,30
17,XGBoost,Stage 1 only,0.0,0,0.9333333333333333,0.9933333333333334,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
17,XGBoost,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9922222222222222,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
17,XGBoost,Cascade,0.15,9,0.9333333333333333,0.9922222222222222,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
18,Logistic Regression,Stage 1 only,0.0,0,0.8833333333333333,0.9488888888888889,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
18,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.8833333333333333,0.9333333333333333,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
18,Logistic Regression,Cascade,0.06666666666666667,4,0.9,0.9566666666666668,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
18,Random Forest,Stage 1 only,0.0,0,0.85,0.9455555555555555,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
18,Random Forest,Stage 1 + Stage 2,1.0,60,0.8166666666666667,0.9266666666666666,0.819672131147541,0.8064516129032258,0.8333333333333334,0.8,24,6,5,25
18,Random Forest,Cascade,0.36666666666666664,22,0.8166666666666667,0.9366666666666668,0.819672131147541,0.8064516129032258,0.8333333333333334,0.8,24,6,5,25
18,XGBoost,Stage 1 only,0.0,0,0.8833333333333333,0.95,0.8852459016393442,0.8709677419354839,0.9,0.8666666666666667,26,4,3,27
18,XGBoost,Stage 1 + Stage 2,1.0,60,0.8166666666666667,0.8822222222222222,0.8135593220338984,0.8275862068965517,0.8,0.8333333333333334,25,5,6,24
18,XGBoost,Cascade,0.16666666666666666,10,0.8333333333333334,0.9411111111111111,0.8275862068965517,0.8571428571428571,0.8,0.8666666666666667,26,4,6,24
19,Logistic Regression,Stage 1 only,0.0,0,0.8833333333333333,0.95,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
19,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9666666666666668,0.9310344827586207,0.9642857142857143,0.9,0.9666666666666667,29,1,3,27
19,Logistic Regression,Cascade,0.18333333333333332,11,0.9333333333333333,0.9588888888888889,0.9310344827586207,0.9642857142857143,0.9,0.9666666666666667,29,1,3,27
19,Random Forest,Stage 1 only,0.0,0,0.85,0.9422222222222223,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
19,Random Forest,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9694444444444444,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
19,Random Forest,Cascade,0.43333333333333335,26,0.9,0.9505555555555556,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
19,XGBoost,Stage 1 only,0.0,0,0.85,0.9211111111111112,0.8524590163934426,0.8387096774193549,0.8666666666666667,0.8333333333333334,25,5,4,26
19,XGBoost,Stage 1 + Stage 2,1.0,60,0.9,0.9266666666666666,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
